Open,High,Low,Close,Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Volume,RETURN,RSI,EMA20,MACD,ATR,VOL_THRESHOLD,NEXT_DAY_RETURN,Target,RANGE,VIX_CHANGE,MOMENTUM_3,MOMENTUM_5
28566.5,28566.5,28183.3203125,28227.390625,11700,20.690000534057617,22.1200008392334,18.59000015258789,22.020000457763672,0,-0.017080613755706908,43.003077429397344,28668.7932487292,223.1960259810694,403.43037747376496,0.014292159797316191,0.004542698166065451,1,383.1796875,0.06428225661554499,-0.022702498594821097,-0.03072833679015774
28122.48046875,28633.720703125,28044.490234375,28355.619140625,14600,22.020000457763672,22.020000457763672,19.850000381469727,21.190000534057617,0,0.004542698166065451,45.96188562667871,28638.967143195467,171.75025141549486,416.70181256492464,0.014695563884475982,0.0062898137267077825,1,589.23046875,-0.037693002109517204,-0.017169320491748463,-0.02222477100057163
28450.259765625,28618.91015625,28424.390625,28533.970703125,13800,21.190000534057617,21.510000228881836,18.540000915527344,20.5,0,0.0062898137267077825,49.86060088379421,28628.967482236374,143.713940130041,405.74389849778714,0.014219678807385564,0.009501969041424196,2,194.51953125,-0.03256255387764684,-0.006405043128981602,-0.012087987735046268
28650.25,28838.51953125,28406.25,28805.099609375,13800,20.5,20.959999084472656,17.93000030517578,20.15999984741211,0,0.009501969041424196,55.1572058574735,28645.74197053529,141.7389202182967,407.63858655151665,0.014151611765954293,0.010061762745325442,2,432.26953125,-0.016585373296970296,0.020466255349275597,-0.0015899324227947043
28888.990234375,29154.669921875,28835.69921875,29094.9296875,17600,20.15999984741211,20.450000762939453,16.979999542236328,20.100000381469727,0,0.010061762745325442,60.01927808316141,28688.52175310336,161.69662970803984,403.490852690694,0.01386808138134271,0.001407502005154937,1,318.970703125,-0.002976164007763349,0.02607280564774528,0.013128376305890255
29170.76953125,29325.349609375,29083.400390625,29135.880859375,10500,20.100000381469727,21.1200008392334,17.479999542236328,20.829999923706055,0,0.001407502005154937,60.668181896224134,28731.12738227209,178.75707530161526,391.952164552073,0.013452559283992103,0.006328242044230992,1,241.94921875,0.036318384496615064,0.021094510908153508,0.03218470479415769
29136.0703125,29411.3203125,29126.91015625,29320.259765625,11000,20.829999923706055,21.649999618530273,18.649999618530273,20.90999984741211,0,0.006328242044230992,63.53766550801054,28787.2352283057,204.79469242989944,384.27059253049634,0.013105975035767393,0.00484340066425637,1,284.41015625,0.0038406108496913394,0.017884338649616582,0.034019381492466305
29434.91015625,29522.859375,29108.150390625,29462.26953125,11900,20.90999984741211,21.90999984741211,19.399999618530273,20.399999618530273,0,0.00484340066425637,65.61822292945874,28851.52420953849,234.18910661240443,386.4447633765323,0.013116598603058688,-0.00783576345858672,0,414.708984375,-0.024390255026470298,0.012625562175110572,0.03253311071856313
29446.2109375,29462.08984375,29178.259765625,29231.41015625,11500,20.399999618530273,21.270000457763672,19.239999771118164,21.270000457763672,0,-0.00783576345858672,59.658556344409206,28887.703823511016,236.13396408743938,379.1279778228514,0.012969883279537563,-0.008767992371219946,0,283.830078125,0.04264710075990075,0.0032787509441047913,0.014799828941964632
29316.580078125,29362.9609375,28913.16015625,28975.109375,8800,21.270000457763672,22.020000457763672,19.40999984741211,21.6299991607666,0,-0.008767992371219946,53.81487006202268,28896.02816174806,214.52108110819972,384.17603521050484,0.013258829509094988,0.0010198678067976363,1,449.80078125,0.016925185484494287,-0.011771737132753923,-0.004118254066497351
29016.55078125,29130.669921875,28875.939453125,29004.66015625,10200,21.6299991607666,22.06999969482422,20.920000076293945,21.549999237060547,0,0.0010198678067976363,54.36984051318538,28906.37406598634,197.50055327707742,374.9299233204688,0.012926540814500042,0.0001148118304803436,1,254.73046875,-0.003698563421637213,-0.015532047675913874,-0.004503749303422122
